total_words,french,english,arabic_script,tunisian_latin,technical_codes,tech_details,unknown,word_details,identified_tech_codes,ticket_id,title,confidence
8,0,0,0,6,0,{},2,"[{'word': '3nady', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'mochkla', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'f', 'language': 'unknown', 'is_technical': False}, {'word': 'PC', 'language': 'tunisian_latin', 'is_technical': False}, {'word': '3nady', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'mochkla', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'f', 'language': 'unknown', 'is_technical': False}, {'word': 'PC', 'language': 'tunisian_latin', 'is_technical': False}]",{},196,3nady mochkla f PC,75.0
6,0,0,0,1,0,{},5,"[{'word': 'gmail', 'language': 'unknown', 'is_technical': False}, {'word': 'l', 'language': 'unknown', 'is_technical': False}, {'word': 'email', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'ne', 'language': 'unknown', 'is_technical': False}, {'word': 'fonctionne', 'language': 'unknown', 'is_technical': False}, {'word': 'pas', 'language': 'unknown', 'is_technical': False}]",{},195,gmail,16.67
11,0,3,0,3,0,{},5,"[{'word': 'PC', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'startup', 'language': 'unknown', 'is_technical': False}, {'word': 'problem', 'language': 'english', 'is_technical': False}, {'word': 'Pc', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'ma', 'language': 'unknown', 'is_technical': False}, {'word': 'y7ebch', 'language': 'english', 'is_technical': False}, {'word': 'ydemarre', 'language': 'unknown', 'is_technical': False}, {'word': 'yb9a', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'stuck', 'language': 'english', 'is_technical': False}, {'word': 'f', 'language': 'unknown', 'is_technical': False}, {'word': 'logo', 'language': 'unknown', 'is_technical': False}]",{},146,PC startup problem,54.55
47,1,25,0,0,0,{},21,"[{'word': 'Projector', 'language': 'unknown', 'is_technical': False}, {'word': 'connectivity', 'language': 'unknown', 'is_technical': False}, {'word': 'issues', 'language': 'unknown', 'is_technical': False}, {'word': 'Dear', 'language': 'unknown', 'is_technical': False}, {'word': 'IT', 'language': 'english', 'is_technical': False}, {'word': 'Support', 'language': 'english', 'is_technical': False}, {'word': 'I', 'language': 'english', 'is_technical': False}, {'word': 'am', 'language': 'unknown', 'is_technical': False}, {'word': 'unable', 'language': 'unknown', 'is_technical': False}, {'word': 'to', 'language': 'english', 'is_technical': False}, {'word': 'connect', 'language': 'unknown', 'is_technical': False}, {'word': 'my', 'language': 'unknown', 'is_technical': False}, {'word': 'laptop', 'language': 'english', 'is_technical': False}, {'word': 'to', 'language': 'english', 'is_technical': False}, {'word': 'the', 'language': 'english', 'is_technical': False}, {'word': 'projector', 'language': 'unknown', 'is_technical': False}, {'word': 'in', 'language': 'english', 'is_technical': False}, {'word': 'Conference', 'language': 'unknown', 'is_technical': False}, {'word': 'Room', 'language': 'unknown', 'is_technical': False}, {'word': 'B', 'language': 'unknown', 'is_technical': False}, {'word': 'I', 'language': 'english', 'is_technical': False}, {'word': 'have', 'language': 'english', 'is_technical': False}, {'word': 'tried', 'language': 'english', 'is_technical': False}, {'word': 'multiple', 'language': 'unknown', 'is_technical': False}, {'word': 'cables', 'language': 'unknown', 'is_technical': False}, {'word': 'and', 'language': 'english', 'is_technical': False}, {'word': 'settings', 'language': 'unknown', 'is_technical': False}, {'word': 'without', 'language': 'english', 'is_technical': False}, {'word': 'success', 'language': 'unknown', 'is_technical': False}, {'word': 'I', 'language': 'english', 'is_technical': False}, {'word': 'have', 'language': 'english', 'is_technical': False}, {'word': 'a', 'language': 'english', 'is_technical': False}, {'word': 'presentation', 'language': 'french', 'is_technical': False}, {'word': 'scheduled', 'language': 'english', 'is_technical': False}, {'word': 'for', 'language': 'english', 'is_technical': False}, {'word': 'tomorrow', 'language': 'english', 'is_technical': False}, {'word': 'morning', 'language': 'english', 'is_technical': False}, {'word': 'Your', 'language': 'unknown', 'is_technical': False}, {'word': 'prompt', 'language': 'unknown', 'is_technical': False}, {'word': 'assistance', 'language': 'unknown', 'is_technical': False}, {'word': 'would', 'language': 'english', 'is_technical': False}, {'word': 'be', 'language': 'english', 'is_technical': False}, {'word': 'greatly', 'language': 'english', 'is_technical': False}, {'word': 'appreciated', 'language': 'english', 'is_technical': False}, {'word': 'Sincerely', 'language': 'english', 'is_technical': False}, {'word': 'Prof', 'language': 'unknown', 'is_technical': False}, {'word': 'Williams', 'language': 'unknown', 'is_technical': False}]",{},76,Projector connectivity issues,55.32
17,2,0,14,0,0,{},1,"[{'word': 'الويندوز', 'language': 'arabic_script', 'is_technical': False}, {'word': 'يطلب', 'language': 'arabic_script', 'is_technical': False}, {'word': 'activation', 'language': 'french', 'is_technical': False}, {'word': 'برجاء', 'language': 'arabic_script', 'is_technical': False}, {'word': 'التدخ', 'language': 'arabic_script', 'is_technical': False}, {'word': 'ل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'الويندوز', 'language': 'arabic_script', 'is_technical': False}, {'word': 'يطلب', 'language': 'arabic_script', 'is_technical': False}, {'word': 'activation', 'language': 'french', 'is_technical': False}, {'word': 'وكي', 'language': 'arabic_script', 'is_technical': False}, {'word': 'نعمل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'activate', 'language': 'unknown', 'is_technical': False}, {'word': 'ما', 'language': 'arabic_script', 'is_technical': False}, {'word': 'ينج', 'language': 'arabic_script', 'is_technical': False}, {'word': 'مش', 'language': 'arabic_script', 'is_technical': False}, {'word': 'يتصل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'بالسرفور', 'language': 'arabic_script', 'is_technical': False}]",{},88,الويندوز يطلب activation,94.12
15,0,0,15,0,0,{},0,"[{'word': 'اللوجيسيال', 'language': 'arabic_script', 'is_technical': False}, {'word': 'متاع', 'language': 'arabic_script', 'is_technical': False}, {'word': 'المحاسبة', 'language': 'arabic_script', 'is_technical': False}, {'word': 'يوقف', 'language': 'arabic_script', 'is_technical': False}, {'word': 'هاو', 'language': 'arabic_script', 'is_technical': False}, {'word': 'المشكل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'اللوجيسيال', 'language': 'arabic_script', 'is_technical': False}, {'word': 'متاع', 'language': 'arabic_script', 'is_technical': False}, {'word': 'المحاسبة', 'language': 'arabic_script', 'is_technical': False}, {'word': 'يوقف', 'language': 'arabic_script', 'is_technical': False}, {'word': 'فجأة', 'language': 'arabic_script', 'is_technical': False}, {'word': 'ديما', 'language': 'arabic_script', 'is_technical': False}, {'word': 'في', 'language': 'arabic_script', 'is_technical': False}, {'word': 'نفس', 'language': 'arabic_script', 'is_technical': False}, {'word': 'البلاصة', 'language': 'arabic_script', 'is_technical': False}]",{},89,اللوجيسيال متاع المحاسبة يوقف,100.0
25,3,5,0,4,0,{},13,"[{'word': 'email', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'ma', 'language': 'unknown', 'is_technical': False}, {'word': 'yetb3atch', 'language': 'english', 'is_technical': False}, {'word': 'bonsoir', 'language': 'unknown', 'is_technical': False}, {'word': ""l'email"", 'language': 'unknown', 'is_technical': False}, {'word': 'ma', 'language': 'unknown', 'is_technical': False}, {'word': 'yetb3atch', 'language': 'english', 'is_technical': False}, {'word': 'kol', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'marra', 'language': 'unknown', 'is_technical': False}, {'word': 'nekteb', 'language': 'unknown', 'is_technical': False}, {'word': 'message', 'language': 'unknown', 'is_technical': False}, {'word': 'w', 'language': 'unknown', 'is_technical': False}, {'word': 'neclicki', 'language': 'english', 'is_technical': False}, {'word': 'envoyer', 'language': 'english', 'is_technical': False}, {'word': 'ya3tini', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'erreur', 'language': 'french', 'is_technical': False}, {'word': 'urgent', 'language': 'french', 'is_technical': False}, {'word': 'car', 'language': 'unknown', 'is_technical': False}, {'word': '3andi', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'rdv', 'language': 'unknown', 'is_technical': False}, {'word': 'demain', 'language': 'french', 'is_technical': False}, {'word': 'w', 'language': 'unknown', 'is_technical': False}, {'word': 'lezem', 'language': 'unknown', 'is_technical': False}, {'word': 'neb3ath', 'language': 'english', 'is_technical': False}, {'word': 'documents', 'language': 'unknown', 'is_technical': False}]",{},96,email ma yetb3atch,48.0
29,5,3,0,8,0,{},13,"[{'word': ""y'a"", 'language': 'unknown', 'is_technical': False}, {'word': 'un', 'language': 'french', 'is_technical': False}, {'word': 'bruit', 'language': 'unknown', 'is_technical': False}, {'word': 'bizarre', 'language': 'unknown', 'is_technical': False}, {'word': 'dans', 'language': 'french', 'is_technical': False}, {'word': 'le', 'language': 'french', 'is_technical': False}, {'word': 'PC', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'salam', 'language': 'tunisian_latin', 'is_technical': False}, {'word': '3andi', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'laptop', 'language': 'english', 'is_technical': False}, {'word': 'jdid', 'language': 'unknown', 'is_technical': False}, {'word': 'w', 'language': 'unknown', 'is_technical': False}, {'word': 'fama', 'language': 'unknown', 'is_technical': False}, {'word': 'bruit', 'language': 'unknown', 'is_technical': False}, {'word': 'ghal3ed', 'language': 'english', 'is_technical': False}, {'word': 's3ir', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'mel', 'language': 'unknown', 'is_technical': False}, {'word': 'we7ed', 'language': 'english', 'is_technical': False}, {'word': 'yetla3', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'mel', 'language': 'unknown', 'is_technical': False}, {'word': 'PC', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'ye5i', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'yji', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'menou', 'language': 'unknown', 'is_technical': False}, {'word': ""c'est"", 'language': 'french', 'is_technical': False}, {'word': 'un', 'language': 'french', 'is_technical': False}, {'word': 'Dell', 'language': 'unknown', 'is_technical': False}, {'word': 'Inspiron', 'language': 'unknown', 'is_technical': False}, {'word': 'merciii', 'language': 'unknown', 'is_technical': False}]",{},97,y'a un bruit bizarre dans le PC,55.17
19,0,16,0,0,1,{'ports': 1},2,"[{'word': 'Docker', 'language': 'english', 'is_technical': False}, {'word': 'container', 'language': 'english', 'is_technical': False}, {'word': 'unreachable', 'language': 'english', 'is_technical': False}, {'word': 'Hello', 'language': 'english', 'is_technical': False}, {'word': 'IT', 'language': 'english', 'is_technical': False}, {'word': 'I', 'language': 'english', 'is_technical': False}, {'word': 'deployed', 'language': 'english', 'is_technical': False}, {'word': 'a', 'language': 'english', 'is_technical': False}, {'word': 'container', 'language': 'english', 'is_technical': False}, {'word': 'with', 'language': 'english', 'is_technical': False}, {'word': 'Docker', 'language': 'english', 'is_technical': False}, {'word': 'but', 'language': 'english', 'is_technical': False}, {'word': 'the', 'language': 'english', 'is_technical': False}, {'word': 'service', 'language': 'unknown', 'is_technical': False}, {'word': 'is', 'language': 'english', 'is_technical': False}, {'word': 'unreachable', 'language': 'english', 'is_technical': False}, {'word': 'on', 'language': 'english', 'is_technical': False}, {'word': 'port', 'language': 'unknown', 'is_technical': False}, {'word': '8080', 'language': 'tech_ports', 'is_technical': True}]",{'ports': ['port 8080']},106,Docker container unreachable,89.47
15,9,1,0,0,0,{},5,"[{'word': 'Mot', 'language': 'french', 'is_technical': False}, {'word': 'de', 'language': 'french', 'is_technical': False}, {'word': 'passe', 'language': 'french', 'is_technical': False}, {'word': 'oublié', 'language': 'unknown', 'is_technical': False}, {'word': ""J'ai"", 'language': 'french', 'is_technical': False}, {'word': 'oublié', 'language': 'unknown', 'is_technical': False}, {'word': 'mon', 'language': 'unknown', 'is_technical': False}, {'word': 'mot', 'language': 'french', 'is_technical': False}, {'word': 'de', 'language': 'french', 'is_technical': False}, {'word': 'passe', 'language': 'french', 'is_technical': False}, {'word': 'Windows', 'language': 'unknown', 'is_technical': False}, {'word': 'pouvez', 'language': 'unknown', 'is_technical': False}, {'word': 'vous', 'language': 'french', 'is_technical': False}, {'word': 'le', 'language': 'french', 'is_technical': False}, {'word': 'réinitialiser', 'language': 'english', 'is_technical': False}]",{},3,Mot de passe oublié,66.67
