total_words,french,english,arabic_script,tunisian_latin,technical_codes,tech_details,unknown,word_details,identified_tech_codes,average_confidence,ticket_id,title,confidence,confidence_bin,dominant_language
83,48,10,0,6,11,"{'error_codes': 1, 'it_abbreviation': 4, 'ports': 6}",8,"[{'word': 'Problème', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'connexion', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'serveur', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'et', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'erreur', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'E404', 'language': 'tech_error_codes', 'confidence': 100, 'is_technical': True}, {'word': 'bonjour', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'j', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'ai', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'un', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'problème', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'urgent', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'avec', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'mon', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'ordinateur', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'Le', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'serveur', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'web', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'ne', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'répond', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'plus', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'depuis', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'hier', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'Voici', 'language': 'french', 'confidence': 60, 'is_technical': False, 'context_improved': True}, {'word': 'les', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'détails', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'techniques', 'language': 'french', 'confidence': 60, 'is_technical': False, 'context_improved': True}, {'word': 'Adresse', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'IP', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}, {'word': '192', 'language': 'tech_ports', 'confidence': 100, 'is_technical': True}, {'word': '168', 'language': 'tech_ports', 'confidence': 100, 'is_technical': True}, {'word': '1', 'language': 'unknown', 'confidence': 0, 'is_technical': False}, {'word': '100', 'language': 'tech_ports', 'confidence': 100, 'is_technical': True}, {'word': 'Port', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': '8080', 'language': 'tech_ports', 'confidence': 100, 'is_technical': True}, {'word': 'Erreur', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'HTTP', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}, {'word': '404', 'language': 'tech_ports', 'confidence': 100, 'is_technical': True}, {'word': 'Not', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Found', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Version', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'Apache', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': '2', 'language': 'tunisian_latin', 'confidence': 100, 'is_technical': False}, {'word': '4', 'language': 'unknown', 'confidence': 0, 'is_technical': False}, {'word': '41', 'language': 'tech_ports', 'confidence': 100, 'is_technical': True}, {'word': 'Fichier', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'var', 'language': 'unknown', 'confidence': 20, 'is_technical': False}, {'word': 'www', 'language': 'unknown', 'confidence': 0, 'is_technical': False}, {'word': 'html', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}, {'word': 'index', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'php', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}, {'word': 'le', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'message', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'd', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'erreur', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'indique', 'language': 'french', 'confidence': 86, 'is_technical': False}, {'word': 'Fichier', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'non', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'trouvé', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'Mochkla', 'language': 'tunisian_latin', 'confidence': 100, 'is_technical': False}, {'word': 'kbira', 'language': 'unknown', 'confidence': 18, 'is_technical': False}, {'word': 'fel', 'language': 'unknown', 'confidence': 20, 'is_technical': False}, {'word': 'système', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'w', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'il', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'serveur', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'ma3adech', 'language': 'tunisian_latin', 'confidence': 150, 'is_technical': False}, {'word': 'yekhdim', 'language': 'unknown', 'confidence': 8, 'is_technical': False}, {'word': 'Could', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'you', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'please', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'help', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'me', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'troubleshoot', 'language': 'unknown', 'confidence': 25, 'is_technical': False}, {'word': 'this', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'issue', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Merci', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'd', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'avance', 'language': 'french', 'confidence': 60, 'is_technical': False, 'context_improved': True}, {'word': 'pour', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'votre', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'aide', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'technique', 'language': 'english', 'confidence': 100, 'is_technical': False}]","{'error_codes': ['E404'], 'versions': ['2.4.41', '192.168.1.100'], 'ip_addresses': ['192.168.1.100'], 'ports': ['41', '404', '192', '100', '8080', '168']}",85.99,198,Problème connexion serveur et erreur E404.,85.99,Bonne (85-95%),Français
6,2,2,0,2,0,{},0,"[{'word': 'message', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'de', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'test', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'message', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'de', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'test', 'language': 'english', 'confidence': 100, 'is_technical': False}]",{},93.33,197,message de test,93.33,Bonne (85-95%),Français
8,0,2,0,4,2,{'it_abbreviation': 2},0,"[{'word': '3nady', 'language': 'tunisian_latin', 'confidence': 130, 'is_technical': False}, {'word': 'mochkla', 'language': 'tunisian_latin', 'confidence': 100, 'is_technical': False}, {'word': 'f', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'PC', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}, {'word': '3nady', 'language': 'tunisian_latin', 'confidence': 130, 'is_technical': False}, {'word': 'mochkla', 'language': 'tunisian_latin', 'confidence': 100, 'is_technical': False}, {'word': 'f', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'PC', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}]",{},107.5,196,3nady mochkla f PC,107.5,,Tunisien
6,6,0,0,0,0,{},0,"[{'word': 'gmail', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'l', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'email', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'ne', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'fonctionne', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'pas', 'language': 'french', 'confidence': 90, 'is_technical': False}]",{},91.67,195,gmail,91.67,Bonne (85-95%),Français
11,1,4,0,3,2,{'it_abbreviation': 2},1,"[{'word': 'PC', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}, {'word': 'startup', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'problem', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Pc', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}, {'word': 'ma', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'y7ebch', 'language': 'tunisian_latin', 'confidence': 140, 'is_technical': False}, {'word': 'ydemarre', 'language': 'tunisian_latin', 'confidence': 60, 'is_technical': False, 'context_improved': True}, {'word': 'yb9a', 'language': 'tunisian_latin', 'confidence': 140, 'is_technical': False}, {'word': 'stuck', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'f', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'logo', 'language': 'unknown', 'confidence': 22, 'is_technical': False}]",{},95.64,146,PC startup problem,95.64,Excellente (95-100%),Anglais
47,3,43,0,0,0,{},1,"[{'word': 'Projector', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'connectivity', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'issues', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Dear', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'IT', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Support', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'I', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'am', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'unable', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'to', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'connect', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'my', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'laptop', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'to', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'the', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'projector', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'in', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Conference', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Room', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'B', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'I', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'have', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'tried', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'multiple', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'cables', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'and', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'settings', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'without', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'success', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'I', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'have', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'a', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'presentation', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'scheduled', 'language': 'english', 'confidence': 105, 'is_technical': False}, {'word': 'for', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'tomorrow', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'morning', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Your', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'prompt', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'assistance', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'would', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'be', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'greatly', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'appreciated', 'language': 'english', 'confidence': 70, 'is_technical': False}, {'word': 'Sincerely', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Prof', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Williams', 'language': 'unknown', 'confidence': 22, 'is_technical': False}]",{},97.17,76,Projector connectivity issues,97.17,Excellente (95-100%),Anglais
17,0,3,14,0,0,{},0,"[{'word': 'الويندوز', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'يطلب', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'activation', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'برجاء', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'التدخ', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'ل', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'الويندوز', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'يطلب', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'activation', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'وكي', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'نعمل', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'activate', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'ما', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'ينج', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'مش', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'يتصل', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'بالسرفور', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}]",{},100.0,88,الويندوز يطلب activation,100.0,Excellente (95-100%),Arabe
15,0,0,15,0,0,{},0,"[{'word': 'اللوجيسيال', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'متاع', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'المحاسبة', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'يوقف', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'هاو', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'المشكل', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'اللوجيسيال', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'متاع', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'المحاسبة', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'يوقف', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'فجأة', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'ديما', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'في', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'نفس', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}, {'word': 'البلاصة', 'language': 'arabic_script', 'confidence': 100, 'is_technical': False}]",{},100.0,89,اللوجيسيال متاع المحاسبة يوقف,100.0,Excellente (95-100%),Arabe
25,11,0,0,12,0,{},2,"[{'word': 'email', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'ma', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'yetb3atch', 'language': 'tunisian_latin', 'confidence': 140, 'is_technical': False}, {'word': 'bonsoir', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': ""l'email"", 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'ma', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'yetb3atch', 'language': 'tunisian_latin', 'confidence': 140, 'is_technical': False}, {'word': 'kol', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'marra', 'language': 'tunisian_latin', 'confidence': 60, 'is_technical': False, 'context_improved': True}, {'word': 'nekteb', 'language': 'tunisian_latin', 'confidence': 100, 'is_technical': False}, {'word': 'message', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'w', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'neclicki', 'language': 'unknown', 'confidence': 18, 'is_technical': False}, {'word': 'envoyer', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'ya3tini', 'language': 'tunisian_latin', 'confidence': 130, 'is_technical': False}, {'word': 'erreur', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'urgent', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'car', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': '3andi', 'language': 'tunisian_latin', 'confidence': 100, 'is_technical': False}, {'word': 'rdv', 'language': 'unknown', 'confidence': 10, 'is_technical': False}, {'word': 'demain', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'w', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'lezem', 'language': 'tunisian_latin', 'confidence': 60, 'is_technical': False, 'context_improved': True}, {'word': 'neb3ath', 'language': 'tunisian_latin', 'confidence': 130, 'is_technical': False}, {'word': 'documents', 'language': 'french', 'confidence': 90, 'is_technical': False}]",{},90.72,96,email ma yetb3atch,90.72,Bonne (85-95%),Tunisien
29,5,6,0,11,2,{'it_abbreviation': 2},5,"[{'word': ""y'a"", 'language': 'unknown', 'confidence': 10, 'is_technical': False}, {'word': 'un', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'bruit', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'bizarre', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'dans', 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'le', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'PC', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}, {'word': 'salam', 'language': 'tunisian_latin', 'confidence': 100, 'is_technical': False}, {'word': '3andi', 'language': 'tunisian_latin', 'confidence': 100, 'is_technical': False}, {'word': 'laptop', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'jdid', 'language': 'unknown', 'confidence': 7, 'is_technical': False}, {'word': 'w', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'fama', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'bruit', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'ghal3ed', 'language': 'tunisian_latin', 'confidence': 130, 'is_technical': False}, {'word': 's3ir', 'language': 'tunisian_latin', 'confidence': 130, 'is_technical': False}, {'word': 'mel', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'we7ed', 'language': 'tunisian_latin', 'confidence': 130, 'is_technical': False}, {'word': 'yetla3', 'language': 'tunisian_latin', 'confidence': 130, 'is_technical': False}, {'word': 'mel', 'language': 'tunisian_latin', 'confidence': 90, 'is_technical': False}, {'word': 'PC', 'language': 'tech_it_abbreviation', 'confidence': 100, 'is_technical': True}, {'word': 'ye5i', 'language': 'tunisian_latin', 'confidence': 130, 'is_technical': False}, {'word': 'yji', 'language': 'tunisian_latin', 'confidence': 100, 'is_technical': False}, {'word': 'menou', 'language': 'unknown', 'confidence': 24, 'is_technical': False}, {'word': ""c'est"", 'language': 'french', 'confidence': 100, 'is_technical': False}, {'word': 'un', 'language': 'french', 'confidence': 90, 'is_technical': False}, {'word': 'Dell', 'language': 'english', 'confidence': 100, 'is_technical': False}, {'word': 'Inspiron', 'language': 'unknown', 'confidence': 26, 'is_technical': False}, {'word': 'merciii', 'language': 'unknown', 'confidence': 21, 'is_technical': False}]",{},88.9,97,y'a un bruit bizarre dans le PC,88.9,Bonne (85-95%),Tunisien
